@relation 'data-weka.filters.unsupervised.attribute.Remove-V-R14,44,46,73,75,126,129,140,145,156,185,210,219,234,240,248,254,265,284,319,332,341-344,373,424,438,450,464,468,585,606,614,626,638,653-654,668,682,686,716,770,794-795,800,828,858,901'

@attribute attr13 numeric
@attribute attr43 numeric
@attribute attr45 numeric
@attribute attr72 numeric
@attribute attr74 numeric
@attribute attr125 numeric
@attribute attr128 numeric
@attribute attr139 numeric
@attribute attr144 numeric
@attribute attr155 numeric
@attribute attr184 numeric
@attribute attr209 numeric
@attribute attr218 numeric
@attribute attr233 numeric
@attribute attr239 numeric
@attribute attr247 numeric
@attribute attr253 numeric
@attribute attr264 numeric
@attribute attr283 numeric
@attribute attr318 numeric
@attribute attr331 numeric
@attribute attr340 numeric
@attribute attr341 numeric
@attribute attr342 numeric
@attribute attr343 numeric
@attribute attr372 numeric
@attribute attr423 numeric
@attribute attr437 numeric
@attribute attr449 numeric
@attribute attr463 numeric
@attribute attr467 numeric
@attribute attr584 numeric
@attribute attr605 numeric
@attribute attr613 numeric
@attribute attr625 numeric
@attribute attr637 numeric
@attribute attr652 numeric
@attribute attr653 numeric
@attribute attr667 numeric
@attribute attr681 numeric
@attribute attr685 numeric
@attribute attr715 numeric
@attribute attr769 numeric
@attribute attr793 numeric
@attribute attr794 numeric
@attribute attr799 numeric
@attribute attr827 numeric
@attribute attr857 numeric
@attribute theClass {positive,negative}

@data
-14080979,-10197387,-10920846,-9335629,-9270862,-16767357,-16764782,-11832683,-15060100,-16771706,-16501604,-14405066,-16764482,-13678199,-13550267,-16699468,-6373649,-16306308,-2690817,-4866359,-6903637,-1,-1114113,-5061177,-8483704,-8156004,-7953476,-9539449,-9143167,-11646864,-10658444,-7293988,-16768102,-16771968,-16770702,-16700223,-1,-8211495,-16769108,-3742729,-16242571,-14072445,-8875077,-7560525,-8152141,-6112309,-5783358,-8286324,negative
-12039596,-12170148,-12235429,-12498073,-12430996,-11184022,-10917734,-13344868,-12561285,-11118223,-11513758,-918017,-14071903,-16768134,-983041,-12296547,-9265429,-14659942,-4068609,-720897,-11644330,-2426369,-851969,-6107147,-9396023,-10254665,-11511193,-3871489,-9665126,-8347442,-2228225,-14989685,-10983289,-15252845,-11699021,-10784860,-15119177,-15448935,-9339480,-13214796,-14007445,-15325120,-16777186,-11249046,-11775135,-16775653,-15787740,-16050917,negative
-8094086,-6975863,-8094857,-8028294,-10661555,-7765891,-7896710,-8028286,-8358028,-7766147,-7765891,-8884628,-8357515,-8555407,-8753042,-8357258,-10924759,-8950164,-10927101,-9806782,-14614528,-9871816,-11124217,-10010112,-9219840,-9285120,-11453377,-9614592,-9867668,-9549056,-9811968,-9549824,-8162183,-10273280,-11120048,-9935778,-10659755,-9146517,-9278876,-10923183,-10132895,-9804187,-10462634,-11513785,-9146516,-10331048,-10727088,-10463664,positive
-11383196,-11316620,-10856615,-8808506,-9205328,-16771147,-16771654,-16771659,-16768086,-16636959,-16773451,-589825,-16777018,-16769832,-1,-14126351,-14981649,-16767804,-2293761,-786435,-16777216,-1836810,-327681,-1,-1,-9992017,-10252588,-1,-10584689,-16772141,-1,-2622209,-16773723,-917510,-16771382,-8405017,-16769062,-16768549,-16766814,-16769060,-16771131,-16769079,-16772659,-16762660,-16763427,-16764463,-15908677,-13947803,negative
-5065557,-15766852,-14845752,-16754214,-16754740,-16749614,-16750637,-16751918,-16681770,-16618282,-16751917,-16685880,-10306318,-16620336,-16686391,-1515050,-1055528,-16753971,-3749679,-989993,-10651492,-16296545,-15770722,-16757361,-10972995,-16760119,-16756273,-16755773,-16686645,-13657636,-16755014,-4012336,-13466942,-792095,-16156200,-9661780,-6509398,-16761948,-16757563,-38,-16748337,-16748852,-16755510,-16746776,-16747796,-16611586,-10055257,-16384000,negative
-4998736,-16580608,-16711680,-7105660,-8289417,-16763714,-16765505,-16766279,-3939329,-16038459,-16038715,-15250511,-16236094,-3152668,-14661197,-16039483,-16769103,-1379344,-14194216,-2761501,-8674867,-6632705,-393217,-24,-1512991,-2037007,-15182124,-1,-13344591,-1,-15002871,-10065051,-15842364,-10855827,-393217,-16628799,-9077632,-16777216,-16433471,-15593449,-2697504,-3944233,-513,-16236865,-15974721,-16770161,-16568648,-16167987,negative
-16187392,-8880770,-7959408,-10647368,-12288345,-16763192,-16763700,-16698929,-16633133,-16696635,-16760631,-12897479,-16762423,-16765498,-14345447,-16697392,-6831112,-16699688,-6048044,-16772174,-6071961,-1707270,-2365454,-131073,-5586979,-2102799,-9142291,-7236196,-8811126,-786689,-2,-16704382,-16696384,-7359786,-16702025,-16765503,-16767816,-16768072,-16765502,-16767562,-16702535,-16702273,-16763461,-12753494,-13016668,-12755036,-14670551,-14409958,negative
-1,-8025193,-5129790,-9075829,-9668482,-1838341,-1902849,-1,-9017533,-1773061,-1706756,-11320795,-13617087,-9080477,-7700391,-13486011,-9225984,-12306396,-8172544,-15593708,-2036481,-9946880,-8697088,-8632064,-7385088,-7518464,-7566187,-14342911,-16777216,-16313830,-7777024,-7187712,-1,-8042752,-8096953,-7762024,-16777213,-12301744,-1,-14997460,-6650023,-6321062,-6376773,-12235177,-8418674,-7693658,-7891554,-7628636,negative
-14145761,-12432028,-12823963,-16771754,-16769705,-16770203,-16771482,-16775084,-5261137,-16770712,-16772766,-10929400,-16705687,-6312279,-10209279,-16639643,-13024381,-5192770,-4142651,-6840669,-1,-4930626,-6050906,-6316894,-2827299,-2826788,-13152135,-16777216,-8763392,-16777216,-16777216,-7038301,-16573588,-5588560,-16775594,-16770713,-3418665,-4536898,-16770707,-11840936,-16775853,-16775341,-15984045,-16775831,-16776857,-16777126,-16771748,-6709597,negative
-14604769,-14405838,-14537168,-13417881,-14795428,-16758888,-16759641,-16628064,-16762485,-16693850,-16768113,-1118998,-16764000,-16557913,-1118742,-12878652,-14061113,-15967322,-6045208,-3084803,-11973037,-8087867,-7955261,-6508344,-4534063,-11964515,-16765822,-16770164,-4996932,-4138772,-16770178,-9064748,-16492884,-12092241,-16758874,-16759125,-16760914,-16560205,-16765019,-16765779,-16694357,-16695918,-16762224,-16763024,-16106391,-12093777,-5056013,-7492420,negative
