@relation 'data-weka.filters.unsupervised.attribute.Remove-V-R14,44,46,73,75,126,129,140,145,156,185,210,219,234,240,248,254,265,284,319,332,341-344,373,424,438,450,464,468,585,606,614,626,638,653-654,668,682,686,716,770,794-795,800,828,858,901'

@attribute attr13 numeric
@attribute attr43 numeric
@attribute attr45 numeric
@attribute attr72 numeric
@attribute attr74 numeric
@attribute attr125 numeric
@attribute attr128 numeric
@attribute attr139 numeric
@attribute attr144 numeric
@attribute attr155 numeric
@attribute attr184 numeric
@attribute attr209 numeric
@attribute attr218 numeric
@attribute attr233 numeric
@attribute attr239 numeric
@attribute attr247 numeric
@attribute attr253 numeric
@attribute attr264 numeric
@attribute attr283 numeric
@attribute attr318 numeric
@attribute attr331 numeric
@attribute attr340 numeric
@attribute attr341 numeric
@attribute attr342 numeric
@attribute attr343 numeric
@attribute attr372 numeric
@attribute attr423 numeric
@attribute attr437 numeric
@attribute attr449 numeric
@attribute attr463 numeric
@attribute attr467 numeric
@attribute attr584 numeric
@attribute attr605 numeric
@attribute attr613 numeric
@attribute attr625 numeric
@attribute attr637 numeric
@attribute attr652 numeric
@attribute attr653 numeric
@attribute attr667 numeric
@attribute attr681 numeric
@attribute attr685 numeric
@attribute attr715 numeric
@attribute attr769 numeric
@attribute attr793 numeric
@attribute attr794 numeric
@attribute attr799 numeric
@attribute attr827 numeric
@attribute attr857 numeric
@attribute theClass {positive,negative}

@data
-1840151,-1707543,-13943493,-5985621,-8812402,-3916544,-2335232,-4081756,-5066856,-2861312,-9175040,-7960452,-3578368,-14342376,-8289162,-3446784,-1541118,-8025730,-3382784,-12845056,-3620183,-3447040,-3644928,-3710208,-3644416,-3316992,-7995392,-3054336,-4939122,-3644160,-3185152,-3185408,-3578624,-3184640,-2888460,-3316224,-1,-5321783,-3054848,-3082004,-4930113,-5721439,-15524311,-12628391,-11640723,-9734271,-3943453,-4742000,positive
-2237485,-2,-12,-4473424,-722964,-14477799,-13622999,-12768979,-7711929,-11978695,-11517892,-13755369,-12309213,-3832832,-13821680,-12046547,-6199750,-4953344,-6467319,-10479104,-14146531,-4428013,-4099060,-3902204,-3706112,-3833344,-3620185,-12971264,-3158854,-9428480,-15269888,-5475795,-3156787,-333113,-2523897,-11772316,-2520814,-3374840,-16777195,-6664945,-2193895,-3707616,-3945279,-4206144,-4271168,-2297892,-14862803,-16777216,positive
-788737,-3349010,-3412757,-3810852,-2887706,-12965600,-15003375,-14411247,-7982336,-11389392,-11918309,-12700357,-12110538,-31488,-12832210,-12174289,-9232384,-165118,-3912448,-9433856,-5424384,-691968,-33792,-33792,-32768,-296192,-7392507,-5615872,-9934491,-7663104,-11665152,-2402048,-13293284,-6276096,-7463424,-13883855,-295424,-33279,-13490647,-30464,-8386048,-9239040,-11652833,-12700627,-12306639,-13888228,-12241862,-13028819,negative
-14738419,-15000812,-13751773,-10528682,-12434623,-5195081,-1310723,-3752512,-9561586,-9078923,-13487817,-15922927,-11120830,-2343168,-11780288,-8884392,-4840704,-4903420,-28160,-27392,-12699599,-10752,-11008,-11776,-29184,-4051200,-9878211,-8179712,-22016,-6667776,-9499136,-40444,-14079199,-8109789,-11065599,-12893385,-35327,-2993918,-11975356,-32510,-9218505,-10596801,-11580344,-13030357,-12701133,-11780273,-12634570,-12305352,negative
-15987444,-14211545,-14079702,-14673123,-11383985,-13619411,-13554386,-13952490,-12779520,-11122361,-10875648,-11053483,-16776960,-19712,-10857131,-16315128,-12048883,-29695,-10943488,-3579904,-6014464,-6798848,-2987776,-28928,-24064,-26112,-7536640,-618752,-11638133,-25600,-3054080,-694269,-16318464,-11403264,-10158080,-14541039,-24576,-21504,-9867704,-25856,-10353664,-8571383,-14738675,-14081237,-13292233,-15067615,-11845303,-9734527,negative
-12172480,-13619929,-6974063,-11843260,-8685451,-9013644,-6185318,-13621214,-7849177,-13224910,-16777216,-12765135,-13555156,-24064,-14145765,-15331817,-14019839,-3452672,-8567276,-1210624,-15067107,-9426938,-6274048,-2330880,-687360,-19456,-9269583,-2918400,-1937402,-16777216,-14286848,-2136064,-15855851,-8117504,-5160704,-12632763,-3313920,-291072,-13291979,-3643647,-5751296,-5158912,-4150855,-13948103,-14343885,-1578249,-6180172,-3878194,positive
-9857875,-12224365,-12499163,-14803400,-14736314,-12765135,-11446981,-16771572,-23552,-14540241,-12694190,-14409440,-10657480,-1530624,-13419975,-11447254,-4711133,-13568,-24064,-10469371,-5177342,-802560,-1921536,-2254080,-1925888,-1729536,-5502681,-9982,-16774110,-15104,-5934071,-19200,-13683669,-10481888,-17152,-10260144,-1332735,-9742567,-11576762,-409088,-1395968,-1398528,-13018567,-10855596,-16643072,-11114165,-16777216,-16776189,negative
-9333585,-9667191,-5918027,-7499879,-1,-8283711,-8415066,-15310712,-5624576,-9205338,-10320991,-14144685,-7497311,-3434493,-14407860,-9665894,-8372113,-4619008,-5167360,-5145088,-12233366,-3965696,-3955706,-5073919,-5341952,-5407232,-4629760,-2318076,-14482910,-16515068,-14544125,-10333170,-10257259,-2973440,-2510843,-11308145,-14283008,-1527552,-10452834,-7905023,-4353023,-4287229,-10667701,-16774882,-16777184,-13939667,-13744571,-3028813,negative
-4277892,-5265557,-4673929,-5331342,-6385824,-5416448,-13369344,-13359086,-6514837,-7251712,-7122176,-6177326,-6793472,-2236466,-5718575,-6727680,-4820479,-16777216,-6071040,-4233472,-11075584,-6136064,-6004736,-5807872,-5676288,-5873152,-6003456,-5478400,-7099724,-5740800,-5346816,-5675776,-6333952,-5411072,-14743294,-6464512,-7836333,-11651026,-6202368,-8886969,-12700904,-7308443,-7899573,-8426420,-7898034,-7374504,-6518169,-6519204,positive
-3091502,-3091502,-2959916,-3157295,-3091503,-9476259,-10593446,-8169627,-2780926,-15466496,-10331301,-11631648,-10398682,-2123776,-11760154,-11120814,-3313408,-9291776,-1992703,-16777216,-1709859,-4425984,-4294400,-4359936,-4360192,-4557824,-8188416,-10410240,-14711592,-7386624,-10274559,-1597695,-12894715,-9109248,-2714623,-11978199,-2911232,-4226560,-11846356,-4885760,-2978303,-2321151,-11190478,-13094358,-12699599,-14606568,-10919331,-3879220,negative
-7105138,-6578539,-10394285,-4273986,-5854816,-9210770,-10526629,-9419952,-1860606,-9473686,-8223362,-14867681,-10194070,-2126336,-1,-10592161,-5615872,-4030976,-3635198,-4755200,-12762821,-2977280,-2913792,-1599744,-1337856,-9093376,-4345924,-16777216,-9699328,-9813477,-16777215,-5810944,-10724274,-3962224,-5026304,-6118250,-2652672,-7318272,-8750736,-4687616,-5094912,-5751552,-2954531,-6645104,-7105659,-9209761,-7369349,-8421255,negative
-7700869,-10001566,-3158842,-4013899,-8817551,-7962240,-8489099,-5278106,-604925,-11712179,-9278363,-6996178,-9212823,-12574720,-5152963,-10265506,-4577536,-3170304,-606716,-3633664,-11316911,-2973183,-3040256,-672256,-14080,-4864,-13568,-16711680,-5551798,-15397628,-16777213,-4864,-11647676,-5828096,-3840,-10727859,-8237824,-4356351,-5261121,-256,-10496,-16896,-9023941,-5074325,-4944523,-8824774,-7324605,-5746357,negative
-7238565,-16777216,-13024950,-1710388,-795193,-1382458,-5590112,-6256009,-5261973,-38,-1710652,-4224119,-5068106,-6647727,-3954249,-8960192,-7200489,-4081052,-5853603,-6383778,-1645898,-6183314,-6186909,-6317726,-6317984,-6251934,-6048652,-6383522,-16777216,-6186398,-6515115,-6450091,-327681,-6319035,-16777214,-7115176,-6318505,-5134746,-14940,-6383786,-16777216,-16777214,-9157301,-4814728,-7642553,-5862796,-5006470,-6578572,negative
-1050373,-1116166,-1181959,-1116421,-1182215,-1379078,-1248006,-10084289,-6655994,-1379079,-1379079,-16575983,-1313799,-7445500,-16777216,-1511434,-8974318,-6919677,-7180526,-8036858,-1,-7901439,-8167412,-8167668,-7247866,-6524918,-7182316,-11519213,-14548976,-15854298,-16775125,-7706354,-10001570,-7576320,-6263296,-10396585,-15333887,-8103424,-9014932,-8496896,-6985472,-7249408,-10602691,-16776699,-15725039,-15459302,-15132904,-16777216,positive
-4013906,-8881314,-7042704,-16777216,-16056306,-16777216,-11843255,-42612,-2304,-15263719,-14737376,-983049,-12961233,-256,-984853,-16777216,-41728,-2713600,-256,-16777133,-11899541,-2560,-8448,-8191,-6400,-7168,-256,-8235508,-770960,-256,-13490363,-256,-4085869,-51712,-14080,-9545138,-15104,-3042554,-6511181,-8959,-13824,-16384,-1179678,-1320509,-1189179,-1190461,-926008,-662835,negative
-3879468,-3813931,-3813932,-3813675,-3813675,-12509952,-14352384,-3879468,-3617326,-12575488,-12313598,-5196615,-12510720,-3682606,-3617326,-12510720,-12576255,-3552046,-12773376,-14352384,-3681323,-12773632,-12642560,-12708352,-12708608,-12708352,-12445184,-12775168,-3425611,-12314880,-12447744,-12118528,-12445696,-12052992,-8781824,-12511744,-3029555,-1708302,-12445952,-2370084,-8454144,-9109504,-4540226,-3879725,-3748652,-4014138,-2894372,-6908775,positive
-1181697,-1181953,-1116417,-1116161,-1182209,-787461,-3222305,-1,-10020096,-3616291,-2234641,-10152191,-2892572,-9225728,-10349566,-458753,-12189696,-9226240,-8763648,-9422080,-12964055,-8369408,-8239872,-8502272,-8373248,-9683712,-8955904,-16777211,-12058621,-13296895,-11128829,-10012416,-7038321,-11206656,-10475008,-8947597,-10605568,-10540544,-13685979,-10539776,-10541056,-10541056,-15392748,-14739178,-15068143,-15002351,-15068144,-14476006,positive
-3289653,-3289652,-2369063,-2629926,-2631721,-1480192,-407552,-1120027,-5726060,-2064384,-3866624,-4799287,-1663744,-9806767,-4801599,-1860352,-1987071,-7967389,-2059008,-3210752,-7500428,-2255104,-2321152,-2124288,-1403136,-3702784,-5438976,-2256128,-4340779,-2189824,-2583296,-2386688,-5538296,-2846208,-7753780,-2189568,-9294264,-9465201,-2124032,-16777216,-16777216,-16777216,-1843757,-1114113,-1114113,-1712167,-2367010,-1775650,negative
-9932933,-7958878,-13221790,-5854033,-12562838,-1,-1841937,-5919309,-1539324,-656134,-5853781,-5600620,-5062980,-2198016,-4876131,-6973545,-9175040,-3970048,-2461184,-16646144,-7437425,-2258684,-3178496,-3181056,-2260736,-3049216,-24316,-3310592,-14876408,-490240,-15990783,-159744,-14212834,-4307200,-1539584,-10329764,-6202623,-16182779,-6447467,-2460160,-3046912,-3180800,-9356728,-13818334,-14409959,-15984867,-13358294,-12962766,negative
-7040371,-9540250,-9803422,-7960959,-10592936,-3822950,-6454936,-13026243,-4559872,-5008253,-10990525,-11386085,-8094090,-10471933,-8437504,-10527917,-10546899,-16777210,-6741760,-6662400,-9607324,-5613824,-5673728,-6397440,-6662400,-6400256,-8126464,-6204160,-9221374,-6333952,-6334720,-6396672,-6710620,-7463168,-9489151,-1838861,-4562944,-7516925,-1,-6926336,-10407165,-11721216,-4927034,-6709083,-5394768,-3879221,-1,-6711402,positive
-2031617,-9109499,-9240576,-5176558,-4649446,-9109504,-8706992,-9164715,-720897,-6094844,-6422528,-2823681,-13747871,-6553590,-2955010,-4649977,-16774311,-8253931,-16766599,-4913403,-7471104,-5109241,-6677465,-13553051,-16763242,-7206117,-16760180,-15323515,-1048577,-6287614,-16762482,-16766841,-16761450,-16501882,-8192000,-4383987,-14088675,-16773041,-5498088,-5701632,-9502720,-6867365,-11927269,-9696738,-11534331,-8192000,-7405568,-1646081,positive
-4905665,-524288,-1114112,-65536,-59890,-2359296,-43400,-5594881,-6416077,-524274,-786432,-5465458,-65536,-23850,-4872037,-40042,-16692737,-106617,-16761345,-65536,-2949100,-37212,-65536,-65536,-7103236,-65536,-2979361,-16742401,-9209181,-458752,-6254620,-16760065,-6389805,-16627713,-65536,-1114112,-1245184,-2652769,-65536,-3964929,-524288,-2162688,-524288,-65536,-65536,-851968,-2818048,-3177070,positive
-5263183,-10420219,-10485757,-8650751,-8519678,-9232851,-9371643,-6659208,-10608336,-8716276,-8716273,-591110,-5720906,-6916739,-2565159,-5260612,-6707794,-7910306,-7762288,-3810855,-10092537,-16711673,-9473161,-10854818,-16777216,-16777216,-7506308,-4011568,-13496039,-12041663,-9801097,-7694692,-4926262,-6443085,-10092275,-4076337,-5915968,-6173494,-4399396,-5387573,-8519654,-11010048,-9353402,-9623500,-8636351,-8847352,-8716281,-10747880,positive
-8824233,-7733240,-7077888,-4456448,-3407872,-16120572,-3735552,-1305086,-15133672,-11464672,-13685462,-5719861,-2877167,-1900288,-5718326,-966840,-16709992,-2293760,-16777067,-3981224,-11835562,-306349,-1638400,-1832192,-8623165,-1572864,-1769472,-3509866,-7225656,-9407522,-7242817,-16777036,-1441792,-16777030,-458752,-14658322,-1900544,-4817990,-2476982,-4300152,-1835008,-4063232,-4244369,-2157824,-3199963,-1310720,-1572864,-4587251,positive
-13295578,-12386304,-12255232,-11403264,-11272192,-11522513,-12058624,-11523030,-15597568,-12713984,-12845056,-13223877,-12189696,-11010048,-12763325,-14015924,-16710838,-11203308,-16777144,-11137770,-14086115,-11524049,-11337728,-11206656,-12242095,-11272192,-10416377,-13817259,-12363686,-11203051,-15456918,-16776880,-13030324,-16710576,-10812928,-11468793,-13163181,-15718806,-11993088,-10944512,-10223616,-12124160,-11983554,-11593172,-12050128,-11141120,-11272192,-13369344,positive
-14870248,-15922935,-14016475,-14937325,-13755874,-16776441,-16449534,-8174501,-15592672,-16644604,-15001571,-12755556,-4496260,-12187361,-15513688,-5612426,-15650397,-12577747,-14924367,-6985791,-14936036,-9745756,-6789440,-5870392,-7708990,-6988355,-15400692,-6660943,-1,-7120468,-6399054,-16763732,-13493220,-14863449,-12703653,-9032124,-5622447,-11993081,-11066317,-5686181,-15332577,-16777211,-11328720,-13234152,-13233113,-12441035,-14150112,-15069159,positive
-14408413,-13289157,-14871527,-5606789,-2860428,-14937068,-3895145,-55745,-16777216,-16775424,-16775163,-16774212,-114613,-47290,-16765475,-42380,-16759565,-47549,-16765469,-2609059,-14082017,-2911540,-49576,-379312,-4679444,-48042,-2920314,-6912557,-1,-6589782,-3174964,-16762129,-52406,-16762140,-55489,-1755839,-1167046,-247488,-585954,-1803367,-12646653,-15133674,-51380,-54473,-53442,-6222568,-11599872,-15003370,positive
-13551035,-1310721,-720897,-8650752,-8192000,-4545871,-9109504,-6881280,-6635576,-1,-1,-3685425,-6553600,-6029312,-3228466,-6422528,-6881280,-6225920,-6029312,-6684672,-1245185,-7405568,-4683367,-2032641,-2909524,-3413022,-6946816,-6160384,-16775400,-723713,-1856306,-5672350,-6159872,-8126464,-6225920,-6291456,-6225920,-6225663,-6094592,-6094848,-3644011,-2098186,-6094848,-8192000,-6356992,-7012352,-1738595,-4068907,positive
-15199210,-15132904,-15067368,-16776704,-15855602,-16777216,-10209204,-6924208,-13226208,-16777216,-16777216,-15857918,-1363646,-3977645,-16055040,-1690296,-2889243,-3910051,-2758170,-4246201,-15330303,-2542772,-1401941,-1,-2955546,-1,-3726014,-4894,-1,-3021848,-8229,-2431767,-2673344,-2890519,-6281161,-2478525,-2281934,-1626045,-1887158,-1756105,-14150381,-14477036,-5352112,-10936786,-9821641,-10469314,-14803172,-13028047,negative
-7798784,-6667724,-6941920,-4508871,-4718592,-9301755,-6029312,-1896446,-7536640,-7336173,-6867655,-8514291,-4915200,-3977885,-8383732,-9872974,-16776846,-3670016,-16777104,-16773735,-9033680,-7844472,-1900544,-2949120,-4574643,-2555904,-3078656,-3402741,-6815486,-7910524,-6729577,-16777095,-12832874,-16777097,-4703674,-3211264,-4970941,-16764466,-3860973,-2424832,-3735552,-4259840,-4577502,-2748928,-2218729,-3932160,-5636096,-3641758,positive
-9947602,-10146007,-8376273,-7848135,-7396306,-7447988,-6734288,-7798514,-5736338,-8109517,-8240849,-7321803,-4309149,-6941657,-7058886,-5889205,-10331810,-5617326,-16515067,-8970435,-11523026,-1779479,-1975322,-3816753,-9736834,-4674625,-10418653,-4878,-14147035,-6673847,-725268,-8225899,-6741707,-1051396,-11071969,-6158044,-8323061,-8257508,-5823427,-8126453,-13035752,-13755881,-3587240,-2923434,-1938586,-10216926,-12185595,-13032417,negative
-6977170,-8059132,-8716288,-8323072,-7864320,-3625068,-7798784,-2980459,-9038836,-7792617,-7526105,-6599903,-7855577,-3530709,-11069404,-6486524,-16769889,-3704690,-16772435,-6603476,-5213366,-3928569,-7995392,-5756628,-12620089,-7995392,-5496024,-6790247,-16515072,-5617088,-12688457,-16776035,-13998904,-16775780,-6286592,-8419414,-7921622,-11564059,-8781824,-4782588,-6815744,-9502720,-9596481,-11502680,-12027730,-7012352,-6815744,-7536640,positive
-11712188,-12302268,-12303552,-12632265,-10271930,-13751260,-11720150,-6666903,-13883352,-13095897,-13227739,-13355980,-5429182,-4044695,-13354698,-5423508,-10512641,-5884325,-8344577,-9535233,-15590119,-6641921,-4546817,-7971846,-9611269,-6845185,-11585994,-2515713,-1,-9086211,-6263562,-11427585,-10406594,-9724929,-6273710,-4961444,-3066791,-3456939,-7718079,-4510630,-10007992,-11647685,-5944486,-12837857,-12641255,-11984866,-16121856,-8023666,positive
-2175806,-8768974,-9230566,-6405282,-3769518,-52,-5809613,-7703952,-5007227,-8565972,-7513022,-3294296,-7582160,-5414581,-3295583,-8755355,-14193499,-6853529,-15044685,-7970739,-792108,-6659750,-4898533,-6996451,-9475973,-5292777,-4500683,-11189187,-12924,-8300459,-11704456,-16619859,-8891553,-15966028,-6406641,-10915458,-11050152,-11701384,-7321310,-6538736,-7257835,-7918566,-10331811,-10398103,-10727826,-6740985,-5760504,-7922172,positive
-2766394,-2172203,-1647146,-1,-3603,-2503478,-1286,-11071454,-3095103,-1843746,-1974820,-3556424,-12124160,-14024704,-3621960,-10944512,-7430754,-13565952,-5062982,-6645611,-2042929,-8569781,-14286848,-9883073,-7376521,-12582904,-9229001,-1315606,-8816783,-10737871,-5596772,-16777216,-13697024,-16777216,-12255230,-8635310,-9105107,-10682354,-12058615,-8578767,-2772812,-1123107,-15007744,-10283740,-11206639,-5801854,-8480,-68367,positive
-1,-8108212,-10158073,-10551296,-8716288,-1,-9961472,-4874836,-8323072,-4807783,-4872287,-1706767,-7864320,-5974062,-1835016,-5141339,-6313551,-5712173,-6376511,-13751765,-6854539,-7002031,-8454144,-7995392,-7637909,-7733248,-7326646,-2622209,-7864302,-14090240,-5319214,-16777216,-6309436,-16777216,-5448736,-6247755,-6971747,-5646628,-6313548,-8585216,-8637113,-9306112,-6243644,-9336939,-4006169,-5713203,-7172220,-9240576,positive
-6094848,-3663593,-2664361,-11381593,-16770898,-5832704,-3777938,-1310729,-6815744,-6422528,-5963776,-11906491,-7031067,-11040548,-11178140,-16777061,-16760874,-11636302,-6985086,-16777069,-5423027,-16777062,-16773748,-1,-4187101,-8538388,-1822688,-5608317,-7143159,-16777055,-4325376,-8481588,-4108199,-3547939,-5295844,-16769097,-4193792,-10843938,-11701829,-2742507,-5111808,-4718592,-8297849,-4440263,-7197895,-4325376,-5046272,-6094848,positive
-6969695,-11983837,-11659744,-12976128,-11599872,-196609,-11075584,-9487283,-11456970,-12118242,-11589077,-7959155,-12320768,-7966856,-8814723,-7169639,-9209736,-8233373,-7297371,-16777216,-3556934,-8095105,-11272174,-11075584,-14024704,-11534330,-11663083,-7691616,-11199198,-16777216,-9346198,-16777216,-10009012,-16185336,-11468800,-8282727,-9820628,-6911863,-8684937,-9629926,-10485744,-11334369,-11468800,-11403264,-11730944,-9699311,-10024426,-13100515,positive
-13023952,-11318207,-5731735,-12968406,-12380389,-14409693,-9827031,-10158079,-10002886,-8955548,-9414562,-13159117,-8585202,-10551292,-12958910,-8323055,-6639948,-10682356,-6705994,-11337728,-7759975,-11993088,-6726794,-2234382,-6508873,-2693905,-13500416,-5934203,-15591656,-6705992,-5210737,-6181187,-11206656,-6902601,-15204352,-9895934,-10092523,-7717036,-11534336,-11862013,-6970730,-12696248,-6842978,-7960422,-7501665,-9798531,-9930876,-9731953,negative
-2247875,-7995387,-8716259,-6488062,-7733248,-7645344,-8257536,-5155211,-4213345,-7405016,-8191972,-16764750,-4274746,-5950907,-16763980,-5389369,-15461099,-8912890,-16777216,-8519680,-5537663,-3418147,-787463,-16449274,-16777216,-16777213,-8388326,-4332319,-5970949,-5701594,-4601400,-16777216,-8974043,-1,-6553574,-7143424,-3824750,-9043968,-6094570,-5671808,-5216903,-1512221,-5373915,-5963746,-6815720,-5891784,-9621670,-16109965,positive
